date,institution,FUTURE_INDEX,CALL_OI,PUT_OI,OPTIONS_NET_OI,FUTURE_INDEX_CHANGE,CALL_OI_CHANGE,PUT_OI_CHANGE,OPTIONS_NET_OI_CHANGE
2025-01-17,PRO,-15716.0,-391224.0,47007.0,-438231.0,10127.0,-32432.0,57492.0,-89924.0
2025-01-20,CLIENT,318430.0,59545.0,-526011.0,585556.0,2863.0,-184914.0,115207.0,-300121.0
2025-01-20,DII,27747.0,70.0,155274.0,-155204.0,760.0,0.0,-1000.0,1000.0
2025-01-20,FII,-333139.0,199958.0,450227.0,-250269.0,-6301.0,53263.0,12289.0,40974.0
2025-01-20,PRO,-13038.0,-259573.0,-79489.0,-180084.0,2678.0,131651.0,-126496.0,258147.0
2025-01-21,CLIENT,315981.0,286208.0,-692610.0,978818.0,-2449.0,226663.0,-166599.0,393262.0
2025-01-21,DII,29953.0,70.0,140274.0,-140204.0,2206.0,0.0,-15000.0,15000.0
2025-01-21,FII,-349977.0,182834.0,439116.0,-256282.0,-16838.0,-17124.0,-11111.0,-6013.0
2025-01-21,PRO,4043.0,-469112.0,113219.0,-582331.0,17081.0,-209539.0,192708.0,-402247.0
2025-01-22,CLIENT,310707.0,242441.0,-459707.0,702148.0,-5274.0,-43767.0,232903.0,-276670.0
2025-01-22,DII,39515.0,70.0,140274.0,-140204.0,9562.0,0.0,0.0,0.0
2025-01-22,FII,-350328.0,136189.0,167897.0,-31708.0,-351.0,-46645.0,-271219.0,224574.0
2025-01-22,PRO,106.0,-378700.0,151535.0,-530235.0,-3937.0,90412.0,38316.0,52096.0
2025-01-23,CLIENT,304307.0,-162049.0,-514699.0,352650.0,-6400.0,-404490.0,-54992.0,-349498.0
2025-01-23,DII,40717.0,70.0,140370.0,-140300.0,1202.0,0.0,96.0,-96.0
2025-01-23,FII,-328511.0,382208.0,315479.0,66729.0,21817.0,246019.0,147582.0,98437.0
2025-01-23,PRO,-16513.0,-220229.0,58851.0,-279080.0,-16619.0,158471.0,-92684.0,251155.0
2025-01-24,CLIENT,289220.0,-59263.0,-645108.0,585845.0,-15087.0,102786.0,-130409.0,233195.0
2025-01-24,DII,41180.0,70.0,140370.0,-140300.0,463.0,0.0,0.0,0.0
2025-01-24,FII,-309670.0,160499.0,316762.0,-156263.0,18841.0,-221709.0,1283.0,-222992.0
2025-01-24,PRO,-20730.0,-101306.0,187976.0,-289282.0,-4217.0,118923.0,129125.0,-10202.0
2025-01-27,CLIENT,275906.0,58280.0,-558176.0,616456.0,-13314.0,117543.0,86932.0,30611.0
2025-01-27,DII,34145.0,70.0,134370.0,-134300.0,-7035.0,0.0,-6000.0,6000.0
2025-01-27,FII,-271200.0,170525.0,245790.0,-75265.0,38470.0,10026.0,-70972.0,80998.0
2025-01-27,PRO,-38851.0,-228875.0,178015.0,-406890.0,-18121.0,-127569.0,-9961.0,-117608.0
2025-01-28,CLIENT,256640.0,-681645.0,-380972.0,-300673.0,-19266.0,-739925.0,177204.0,-917129.0
2025-01-28,DII,19858.0,70.0,123808.0,-123738.0,-14287.0,0.0,-10562.0,10562.0
2025-01-28,FII,-236686.0,386890.0,168011.0,218879.0,34514.0,216365.0,-77779.0,294144.0
2025-01-28,PRO,-39812.0,294685.0,89154.0,205531.0,-961.0,523560.0,-88861.0,612421.0
2025-01-29,CLIENT,229849.0,-951148.0,-504298.0,-446850.0,-26791.0,-269503.0,-123326.0,-146177.0
2025-01-29,DII,37454.0,70.0,102475.0,-102405.0,17596.0,0.0,-21333.0,21333.0
2025-01-29,FII,-224190.0,604205.0,358807.0,245398.0,12496.0,217315.0,190796.0,26519.0
2025-01-29,PRO,-43113.0,346873.0,43015.0,303858.0,-3301.0,52188.0,-46139.0,98327.0
2025-01-30,CLIENT,149287.0,-14206.0,-197124.0,182918.0,-80562.0,936942.0,307174.0,629768.0
2025-01-30,DII,18776.0,70.0,27664.0,-27594.0,-18678.0,0.0,-74811.0,74811.0
2025-01-30,FII,-173009.0,15174.0,130095.0,-114921.0,51181.0,-589031.0,-228712.0,-360319.0
2025-01-30,PRO,4946.0,-1038.0,39366.0,-40404.0,48059.0,-347911.0,-3649.0,-344262.0
2025-01-31,CLIENT,141499.0,126844.0,-68099.0,194943.0,-7788.0,141050.0,129025.0,12025.0
2025-01-31,DII,15154.0,70.0,31690.0,-31620.0,-3622.0,0.0,4026.0,-4026.0
2025-01-31,FII,-174242.0,-94350.0,25710.0,-120060.0,-1233.0,-109524.0,-104385.0,-5139.0
2025-01-31,PRO,17589.0,-32564.0,10700.0,-43264.0,12643.0,-31526.0,-28666.0,-2860.0
2025-02-01,CLIENT,141739.0,190100.0,-47365.0,237465.0,240.0,63256.0,20734.0,42522.0
2025-02-01,DII,15861.0,1920.0,31690.0,-29770.0,707.0,1850.0,0.0,1850.0
2025-02-01,FII,-174252.0,-99661.0,30979.0,-130640.0,-10.0,-5311.0,5269.0,-10580.0
2025-02-01,PRO,16652.0,-92359.0,-15303.0,-77056.0,-937.0,-59795.0,-26003.0,-33792.0
2025-02-03,CLIENT,145733.0,212297.0,-76166.0,288463.0,3994.0,22197.0,-28801.0,50998.0
2025-02-03,DII,19037.0,1920.0,31690.0,-29770.0,3176.0,0.0,0.0,0.0
2025-02-03,FII,-184117.0,-185332.0,-12032.0,-173300.0,-9865.0,-85671.0,-43011.0,-42660.0
2025-02-03,PRO,19347.0,-28885.0,56508.0,-85393.0,2695.0,63474.0,71811.0,-8337.0
2025-02-04,CLIENT,134495.0,57602.0,136994.0,-79392.0,-11238.0,-154695.0,213160.0,-367855.0
2025-02-04,DII,8905.0,1920.0,31677.0,-29757.0,-10132.0,0.0,-13.0,13.0
2025-02-04,FII,-153404.0,-88603.0,-47992.0,-40611.0,30713.0,96729.0,-35960.0,132689.0
2025-02-04,PRO,10004.0,29081.0,-120679.0,149760.0,-9343.0,57966.0,-177187.0,235153.0
2025-02-05,CLIENT,132949.0,179128.0,135067.0,44061.0,-1546.0,121526.0,-1927.0,123453.0
